date,game,score,league,season,game_id,home,away,score_home,actual,predicted,prob_home,prob_draw,prob_away,correct,odds_1,odds_X,odds_2,odds_outcome,return
2020-02-12,Almtuna IS  - Södertälje SK,4 - 3,allsvenskan,2019/20,441578,Almtuna IS,Södertälje SK,4,draw,away,0.33,0.16,0.51,0,3.12,4.35,1.95,4.35,-1.0
2020-02-12,MODO Hockey  - Timrå IK,2 - 3,allsvenskan,2019/20,441579,MODO Hockey,Timrå IK,2,away,home,0.57,0.12,0.31,0,1.96,4.55,3.17,3.17,-1.0
2020-02-12,Tingsryds AIF  - Västerviks IK,5 - 1,allsvenskan,2019/20,441581,Tingsryds AIF,Västerviks IK,5,home,away,0.38,0.16,0.46,0,2.35,4.15,2.53,2.35,-1.0
2020-02-12,Västerås IK  - Karlskrona HK,3 - 2,allsvenskan,2019/20,441582,Västerås IK,Karlskrona HK,3,home,home,0.48,0.25,0.27,1,1.64,4.5,4.3,1.64,1.64
2020-02-12,Kristianstads IK  - Mora IK,9 - 2,allsvenskan,2019/20,441583,Kristianstads IK,Mora IK,9,home,away,0.4,0.18,0.42,0,3.25,4.25,1.92,3.25,-1.0
2020-02-14,Mora IK  - HC Vita Hästen,0 - 4,allsvenskan,2019/20,441584,Mora IK,HC Vita Hästen,0,away,home,0.48,0.21,0.31,0,2.13,4.15,2.83,2.83,-1.0
2020-02-14,Karlskrona HK  - Almtuna IS,1 - 0,allsvenskan,2019/20,441585,Karlskrona HK,Almtuna IS,1,home,home,0.46,0.3,0.24,1,1.94,4.2,3.23,1.94,1.94
2020-02-14,MODO Hockey  - Västerås IK,4 - 0,allsvenskan,2019/20,441586,MODO Hockey,Västerås IK,4,home,home,0.48,0.21,0.31,1,1.53,5.35,4.45,1.53,1.53
2020-02-14,Timrå IK  - AIK,6 - 1,allsvenskan,2019/20,441587,Timrå IK,AIK,6,home,away,0.35,0.22,0.43,0,,,,,-1.0
2020-02-14,Västerviks IK  - BIK Karlskoga,1 - 2,allsvenskan,2019/20,441588,Västerviks IK,BIK Karlskoga,1,away,away,0.34,0.29,0.37,1,3.4,4.6,1.82,1.82,1.82
2020-02-15,Södertälje SK  - Kristianstads IK,5 - 1,allsvenskan,2019/20,441589,Södertälje SK,Kristianstads IK,5,home,home,0.49,0.25,0.26,1,1.58,4.65,4.7,1.58,1.58
2020-02-15,IF Björklöven  - Tingsryds AIF,5 - 2,allsvenskan,2019/20,441590,IF Björklöven,Tingsryds AIF,5,home,home,0.55,0.18,0.27,1,,,,,
2020-02-19,Kristianstads IK  - Karlskrona HK,2 - 0,allsvenskan,2019/20,441591,Kristianstads IK,Karlskrona HK,2,home,away,0.3,0.21,0.49,0,2.31,3.95,2.67,2.31,-1.0
2020-02-19,HC Vita Hästen  - Södertälje SK,1 - 3,allsvenskan,2019/20,441592,HC Vita Hästen,Södertälje SK,1,away,home,0.39,0.35,0.26,0,2.21,4.15,2.72,2.72,-1.0
