Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
BIK Karls - Vita Häst,6 - 4,2020-01-31,6 , 4,49,21,30,"1,82","4,20","3,65",BIK Karlskoga,HC Vita Hästen,1,"1,82"
Mora - MODO,5 - 4,2020-01-31,5 , 4,24,20,56,"3,80","4,90","1,68",Mora IK,MODO Hockey,1,"3,80"
Timrå - Tingsryd,3 - 2,2020-01-31,3 , 2,72,16,12,"1,58","4,60","4,70",Timrå IK,Tingsryds AIF,1,"1,58"
Västervik - Almtuna,4 - 3,2020-01-31,4 , 3,44,24,32,"2,25","4,00","2,72",Västerviks IK,Almtuna IS,1,"2,25"
Visby/Rom - Halmstad,1 - 4,2020-01-31,1 , 4,39,21,40,"2,15","4,40","2,55",Visby/Rom , Halmstad,2,"2,55"
Lindlöven - Östersund,2 - 4,2020-01-31,2 , 4,34,22,44,"2,97","4,65","1,87",Lindlöven , Östersund,2,"1,87"
Hudiksval - Borlänge,7 - 3,2020-01-31,7 , 3,44,24,32,"1,94","4,40","2,90",Hudiksval , Borlänge,1,"1,94"
Leksand - Frölunda,2 - 4,2020-02-01,2 , 4,19,17,64,"4,05","4,60","1,72",Leksands IF,Frölunda HC,2,"1,72"
Malmö - Luleå,1 - 3,2020-02-01,1 , 3,31,23,46,"3,07","4,15","2,08",IF Malmö Redhawks,Luleå HF,2,"2,08"
Rögle - Oskarsh.,5 - 3,2020-02-01,5 , 3,71,15,14,"1,43","5,50","6,10",Rögle BK,IK Oskarshamn,1,"1,43"
Skelleft. - Linköping,3 - 2,2020-02-01,3 , 2,53,21,26,"1,81","4,35","3,80",Skellefteå AIK,Linköping HC,1,"1,81"
Färjestad - Örebro,3 - 1,2020-02-01,3 , 1,51,22,27,"1,95","4,40","3,25",Färjestad BK,Örebro HK,1,"1,95"
HV71 - Växjö Lak,5 - 0,2020-02-01,5 , 0,54,22,24,"1,98","4,25","3,28",HV 71,Växjö Lakers HC,1,"1,98"
Brynäs - Djurgård.,0 - 1,2020-02-01,0 , 1,37,23,40,"2,37","4,30","2,55",Brynäs IF,Djurgårdens IF,2,"2,55"
Södertäl. - Karlskron,3 - 2,2020-02-01,3 , 2,60,19,21,"1,93","4,40","3,15",Södertälje SK,Karlskrona HK,1,"1,93"
Visby/Rom - Nybro,1 - 4,2020-02-02,1 , 4,46,20,34,"2,10","4,40","2,62",Visby/Rom ,Nybro Vikings IF,2,"2,62"
Huddinge - Halmstad,5 - 2,2020-02-02,5 , 2,42,19,39,"2,18","4,40","2,49",Huddinge IK, Halmstad,1,"2,18"
Bodens HF - Väsby,0 - 2,2020-02-02,0 , 2,50,19,31,"2,21","4,40","2,46",Bodens HF , Väsby,2,"2,46"
Washingt. - Pittsb.,3 - 4,2020-02-02,3 , 4,55,20,25,"2,14","4,35","2,83",Washingt. , Pittsb.,2,"2,83"
Carolina - Vancouver,3 - 3,2020-02-02,3 , 3,45,21,34,"1,92","4,25","3,38",Carolina , Vancouver,X,"4,25"
Montreal - Columbus,3 - 4,2020-02-02,3 , 4,41,22,37,"2,10","4,30","2,90",Montreal , Columbus,2,"2,90"
Düsseldor - Wolfsburg,1 - 1,2020-02-02,1 , 1,50,21,29,"2,11","4,00","2,82",Düsseldor , Wolfsburg,X,"4,00"
Iserlohn - Th.Sabo,4 - 4,2020-02-02,4 , 4,31,21,48,"2,45","4,15","2,32",Iserlohn , Th.Sabo,X,"4,15"
Sp Moskva - St Peters,0 - 1,2020-02-03,0 , 1,34,22,44,"3,65","4,35","1,80",Sp Moskva , St Peters,2,"1,80"
Dyn Moskv - Jaroslavl,3 - 1,2020-02-03,3 , 1,50,23,27,"2,05","4,10","3,02",Dyn Moskv , Jaroslavl,1,"2,05"
Kazan - Vitjaz,5 - 2,2020-02-03,5 , 2,73,14,13,"1,43","4,80","6,35",Kazan ,HC Vita Hästen,1,"1,43"
Din Riga - Jokerit,2 - 4,2020-02-03,2 , 4,14,15,71,"5,20","4,65","1,53",Din Riga , Jokerit,2,"1,53"
Sollentun - Enköping,4 - 0,2020-02-03,4 , 0,40,23,37,"2,35","4,35","2,25",Sollentun ,Linköping HC,1,"2,35"
Toronto - Florida,3 - 5,2020-02-03,3 , 5,50,22,28,"1,86","4,65","3,35",Toronto , Florida,2,"3,35"
NY Ranger - Dallas,3 - 5,2020-02-03,3 , 5,36,26,38,"2,90","4,00","2,19",NY Ranger , Dallas,2,"2,19"
Detroit - Philadel.,0 - 3,2020-02-03,0 , 3,21,20,59,"4,10","4,65","1,69",Detroit , Philadel.,2,"1,69"
HC Mountf - Frölunda,1 - 3,2020-02-04,1 , 3,24,21,55,"3,60","4,45","1,85",HC Mountf ,Frölunda HC,2,"1,85"
Boston - Vancouver,4 - 0,2020-02-04,4 , 0,57,19,24,"1,72","4,65","3,90",Boston , Vancouver,1,"1,72"
Buffalo - Colorado,1 - 6,2020-02-04,1 , 6,24,20,56,"3,55","4,45","1,84",Buffalo , Colorado,2,"1,84"
N.Jersey - Montreal,4 - 4,2020-02-04,4 , 4,35,25,40,"2,85","4,05","2,20",N.Jersey , Montreal,X,"4,05"
NY Island - Dallas,3 - 3,2020-02-04,3 , 3,38,25,37,"2,32","3,90","2,75",NY Island , Dallas,X,"3,90"
Tampa Bay - Vegas,4 - 2,2020-02-04,4 , 2,52,23,25,"1,88","4,50","3,37",Tampa Bay , Vegas,1,"1,88"
Columbus - Florida,0 - 0,2020-02-04,0 , 0,45,23,32,"2,08","4,25","3,00",Columbus , Florida,X,"4,25"
Washingt. - Los Angel,4 - 2,2020-02-04,4 , 2,73,14,13,"1,64","4,70","4,40",Washingt. , Los Angel,1,"1,64"
Almtuna - Björklöv.,2 - 2,2020-02-05,2 , 2,18,20,62,"5,05","4,55","1,55",Almtuna IS,IF Björklöven,X,"4,55"
Karlskron - Timrå,1 - 5,2020-02-05,1 , 5,24,22,54,"3,35","4,15","1,91",Karlskrona HK,Timrå IK,2,"1,91"
Kristian. - Västervik,2 - 3,2020-02-05,2 , 3,36,22,42,"2,46","3,75","2,57",Kristianstads IK,Västerviks IK,2,"2,57"
MODO - Södertäl.,2 - 5,2020-02-05,2 , 5,66,18,16,"1,36","5,65","6,70",MODO Hockey,Södertälje SK,2,"6,70"
Tingsryd - BIK Karls,2 - 3,2020-02-05,2 , 3,28,22,50,"3,35","4,70","1,81",Tingsryds AIF,BIK Karlskoga,2,"1,81"
Vita Häst - AIK,2 - 0,2020-02-05,2 , 0,68,16,16,"1,43","4,85","6,35",HC Vita Hästen,Skellefteå AIK,1,"1,43"
Västerås - Mora,4 - 6,2020-02-05,4 , 6,49,22,29,"1,82","4,30","3,60",Västerås IK,Mora IK,2,"3,60"
Nybro - Troja/Lju,4 - 1,2020-02-05,4 , 1,30,22,48,"2,50","4,40","2,18",Nybro Vikings IF,IF Troja/Ljungby,1,"2,50"
Tjeckien - Sverige,1 - 2,2020-02-06,1 , 2,28,21,51,"3,70","4,30","1,84",Tjeckien , Sverige,2,"1,84"
Florida - Vegas,2 - 7,2020-02-06,2 , 7,38,26,36,"2,70","4,35","2,21",Florida , Vegas,2,"2,21"
Tampa Bay - Pittsb.,4 - 2,2020-02-06,4 , 2,47,24,29,"1,92","4,40","3,30",Tampa Bay , Pittsb.,1,"1,92"
Buffalo - Detroit,3 - 3,2020-02-06,3 , 3,58,20,22,"1,71","4,55","4,05",Buffalo , Detroit,X,"4,55"
Montreal - Anaheim,2 - 2,2020-02-06,2 , 2,53,22,25,"1,93","4,15","3,42",Montreal , Anaheim,X,"4,15"
NY Island - Los Angel,5 - 3,2020-02-06,5 , 3,58,22,20,"1,82","4,30","3,70",NY Island , Los Angel,1,"1,82"
Philadel. - N.Jersey,0 - 5,2020-02-06,0 , 5,65,19,16,"1,69","4,70","4,05",Philadel. , N.Jersey,2,"4,05"
Ottawa - Colorado,1 - 4,2020-02-06,1 , 4,22,21,57,"3,80","4,60","1,75",Ottawa , Colorado,2,"1,75"
Björklöv. - Kristian.,3 - 1,2020-02-07,3 , 1,79,12,9,"1,25","6,70","8,70",IF Björklöven,Kristianstads IK,1,"1,25"
BIK Karls - AIK,3 - 2,2020-02-07,3 , 2,74,14,12,"1,30","6,15","7,60",BIK Karlskoga,Skellefteå AIK,1,"1,30"
Västervik - Vita Häst,5 - 3,2020-02-07,5 , 3,38,27,35,"2,36","4,00","2,60",Västerviks IK,HC Vita Hästen,1,"2,36"
Kall./Rby - Skövde,4 - 1,2020-02-07,4 , 1,52,22,26,"1,63","4,80","3,75",Kall./Rby , Skövde,1,"1,63"
Mariestad - Tranås,0 - 2,2020-02-07,0 , 2,58,21,21,"1,55","5,05","4,10",Mariestad BoIS HC, Tranås,2,"4,10"
Huddinge - Nybro,2 - 2,2020-02-07,2 , 2,45,24,31,"1,82","4,55","3,15",Huddinge IK,Nybro Vikings IF,X,"4,55"
Troja/Lju - Grums,4 - 0,2020-02-07,4 , 0,74,15,11,"1,31","5,90","6,45",IF Troja/Ljungby, Grums,1,"1,31"
Hammarby - Wings Arl,4 - 1,2020-02-07,4 , 1,29,25,46,"3,02","4,70","1,80",Hammarby IF, Wings Arl,1,"3,02"
Sverige - Ryssland,5 - 2,2020-02-08,5 , 2,46,24,30,"1,84","4,50","3,50",Sverige , Ryssland,1,"1,84"
Mora - Almtuna,2 - 0,2020-02-08,2 , 0,68,17,15,"1,62","4,40","4,55",Mora IK,Almtuna IS,1,"1,62"
Karlskron - MODO,1 - 3,2020-02-08,1 , 3,19,17,64,"3,85","4,80","1,68",Karlskrona HK,MODO Hockey,2,"1,68"
Borlänge - Bodens HF,5 - 2,2020-02-08,5 , 2,55,21,24,"1,73","4,70","3,35",Borlänge , Bodens HF,1,"1,73"
Lindlöven - Kiruna IF,8 - 2,2020-02-08,8 , 2,63,18,19,"1,54","5,05","4,15",Lindlöven , Kiruna IF,1,"1,54"
Vallentun - Piteå,5 - 6,2020-02-08,5 , 6,21,19,60,"3,70","4,80","1,64",Vallentun , Piteå,2,"1,64"
Östersund - Hudiksval,2 - 1,2020-02-08,2 , 1,38,25,37,"2,27","4,25","2,44",Östersund , Hudiksval,1,"2,27"
Nyköping - Linden,2 - 2,2020-02-08,2 , 2,55,21,24,"1,64","4,60","3,65",Linköping HC, Linden,X,"4,60"
Sverige - Finland,5 - 1,2020-02-09,5 , 1,49,22,29,"1,82","4,30","3,70",Sverige , Finland,1,"1,82"
Skövde - Huddinge,5 - 6,2020-02-09,5 , 6,26,18,56,"3,33","4,95","1,71",Skövde ,Huddinge IK,2,"1,71"
Grums - Mariestad,1 - 5,2020-02-09,1 , 5,19,16,65,"3,80","5,05","1,60",Grums ,Mariestad BoIS HC,2,"1,60"
Nybro - Kall./Rby,5 - 2,2020-02-09,5 , 2,59,18,23,"1,84","4,65","3,05",Nybro Vikings IF, Kall./Rby,1,"1,84"
Vallentun - Teg,3 - 1,2020-02-09,3 , 1,28,19,53,"4,00","5,25","1,55",Vallentun , Teg,1,"4,00"
Vimmerby - Kalmar,5 - 2,2020-02-09,5 , 2,42,22,36,"2,06","4,35","2,62",Vimmerby , Kalmar,1,"2,06"
Detroit - Boston,3 - 1,2020-02-09,3 , 1,16,15,69,"5,30","4,65","1,54",Detroit , Boston,1,"5,30"
Buffalo - Anaheim,2 - 3,2020-02-09,2 , 3,42,24,34,"2,23","4,00","2,82",Buffalo , Anaheim,2,"2,82"
AIK - Tingsryd,1 - 0,2020-02-10,1 , 0,33,20,47,"2,52","4,25","2,33",AIK,Tingsryds AIF,1,"2,52"
Timrå - BIK Karls,4 - 0,2020-02-10,4 , 0,58,20,22,"1,87","4,30","3,40",Timrå IK,BIK Karlskoga,1,"1,87"
Södertäl. - Västerås,4 - 2,2020-02-10,4 , 2,54,19,27,"2,25","4,10","2,67",Södertälje SK,Västerås IK,1,"2,25"
Halmstad - Troja/Lju,3 - 5,2020-02-10,3 , 5,35,20,45,"3,08","4,55","1,85",Halmstad ,IF Troja/Ljungby,2,"1,85"
Washingt. - NY Island,3 - 5,2020-02-10,3 , 5,64,17,19,"1,88","4,35","3,45",Washingt. , NY Island,2,"3,45"
Columbus - Tampa Bay,1 - 1,2020-02-10,1 , 1,31,23,46,"3,18","4,25","1,99",Columbus , Tampa Bay,X,"4,25"
Vancouver - Nashville,6 - 2,2020-02-10,6 , 2,41,23,36,"2,87","3,90","2,24",Vancouver , Nashville,1,"2,87"
San Jose - Calgary,2 - 6,2020-02-10,2 , 6,49,21,30,"2,47","4,15","2,47",San Jose , Calgary,2,"2,47"
Brynäs - HV71,3 - 3,2020-02-11,3 , 3,37,20,43,"2,65","4,30","2,31",Brynäs IF,HV 71,X,"4,30"
Frölunda - Linköping,1 - 3,2020-02-11,1 , 3,74,14,12,"1,58","4,75","4,90",Frölunda HC,Linköping HC,2,"4,90"
Leksand - Malmö,2 - 3,2020-02-11,2 , 3,41,20,39,"2,48","4,10","2,50",Leksands IF,IF Malmö Redhawks,2,"2,50"
Skelleft. - Luleå,4 - 1,2020-02-11,4 , 1,26,24,50,"2,97","4,15","2,13",Skellefteå AIK,Luleå HF,1,"2,97"
Växjö Lak - Rögle,0 - 4,2020-02-11,0 , 4,42,22,36,"2,32","4,10","2,70",Växjö Lakers HC,Rögle BK,2,"2,70"
Örebro - Oskarsh.,4 - 2,2020-02-11,4 , 2,73,13,14,"1,48","5,30","5,50",Örebro HK,IK Oskarshamn,1,"1,48"
Djurgård. - Färjestad,4 - 4,2020-02-11,4 , 4,46,22,32,"2,06","4,30","3,05",Djurgårdens IF,Färjestad BK,X,"4,30"
Tingsryd - Västervik,5 - 1,2020-02-12,5 , 1,35,23,42,"2,35","4,15","2,53",Tingsryds AIF,Västerviks IK,1,"2,35"
Västerås - Karlskron,3 - 2,2020-02-12,3 , 2,66,17,17,"1,64","4,50","4,30",Västerås IK,Karlskrona HK,1,"1,64"
Almtuna - Södertäl.,3 - 3,2020-02-12,3 , 3,22,18,60,"3,12","4,35","1,95",Almtuna IS,Södertälje SK,X,"4,35"
MODO - Timrå,2 - 3,2020-02-12,2 , 3,45,23,32,"1,96","4,55","3,17",MODO Hockey,Timrå IK,2,"3,17"
Vita Häst - Björklöv.,3 - 5,2020-02-12,3 , 5,20,19,61,"4,10","4,35","1,70",HC Vita Hästen,IF Björklöven,2,"1,70"
Kristian. - Mora,9 - 2,2020-02-12,9 , 2,21,18,61,"3,25","4,25","1,92",Kristianstads IK,Mora IK,1,"3,25"
Hudiksval - Väsby,4 - 5,2020-02-12,4 , 5,43,23,34,"2,00","4,45","2,75",Hudiksval , Väsby,2,"2,75"
Troja/Lju - Huddinge,5 - 3,2020-02-12,5 , 3,53,24,23,"1,87","4,45","3,05",IF Troja/Ljungby,Huddinge IK,1,"1,87"
Frölunda - Örebro,5 - 3,2020-02-13,5 , 3,60,19,21,"1,72","4,80","3,90",Frölunda HC,Örebro HK,1,"1,72"
HV71 - Rögle,3 - 5,2020-02-13,3 , 5,46,23,31,"1,93","4,40","3,33",HV 71,Rögle BK,2,"3,33"
Djurgård. - Växjö Lak,4 - 1,2020-02-13,4 , 1,65,17,18,"1,78","4,25","4,00",Djurgårdens IF,Växjö Lakers HC,1,"1,78"
Oskarsh. - Malmö,3 - 3,2020-02-13,3 , 3,28,21,51,"3,27","4,30","1,97",IK Oskarshamn,IF Malmö Redhawks,X,"4,30"
Linköping - Leksand,2 - 1,2020-02-13,2 , 1,59,19,22,"1,76","4,40","4,05",Linköping HC,Leksands IF,1,"1,76"
Brynäs - Luleå,5 - 1,2020-02-13,5 , 1,28,23,49,"3,10","4,20","2,06",Brynäs IF,Luleå HF,1,"3,10"
Kirun AIF - Kalix,7 - 2,2020-02-13,7 , 2,62,19,19,"1,65","4,65","3,60",Kirun AIF , Kalix,1,"1,65"
Davos - Ambri,2 - 2,2020-02-13,2 , 2,59,21,20,"1,95","4,30","3,00",Davos , Ambri,X,"4,30"
Färjestad - Skelleft.,0 - 3,2020-02-14,0 , 3,51,21,28,"1,98","4,50","3,15",Färjestad BK,Skellefteå AIK,2,"3,15"
Västervik - BIK Karls,1 - 2,2020-02-14,1 , 2,29,22,49,"3,40","4,60","1,82",Västerviks IK,BIK Karlskoga,2,"1,82"
Karlskron - Almtuna,1 - 0,2020-02-14,1 , 0,52,22,26,"1,94","4,20","3,23",Karlskrona HK,Almtuna IS,1,"1,94"
Mora - Vita Häst,0 - 4,2020-02-14,0 , 4,51,21,28,"2,13","4,15","2,83",Mora IK,HC Vita Hästen,2,"2,83"
Timrå - AIK,6 - 1,2020-02-14,6 , 1,82,10,8,"1,25","6,45","9,35",Timrå IK,Skellefteå AIK,1,"1,25"
MODO - Västerås,4 - 0,2020-02-14,4 , 0,65,18,17,"1,53","5,35","4,45",MODO Hockey,Västerås IK,1,"1,53"
Lausanne - Lugano,2 - 2,2020-02-14,2 , 2,43,24,33,"2,00","3,80","3,15",Lausanne , Lugano,X,"3,80"
Bern - Zug,2 - 1,2020-02-14,2 , 1,30,25,45,"2,55","3,90","2,31",Bern , Zug,1,"2,55"
Leksand - Luleå,0 - 3,2020-02-15,0 , 3,19,16,65,"4,65","4,65","1,62",Leksands IF,Luleå HF,2,"1,62"
Rögle - Frölunda,4 - 3,2020-02-15,4 , 3,42,23,35,"2,33","4,25","2,62",Rögle BK,Frölunda HC,1,"2,33"
Oskarsh. - Växjö Lak,3 - 5,2020-02-15,3 , 5,33,22,45,"3,20","4,25","2,01",IK Oskarshamn,Växjö Lakers HC,2,"2,01"
Linköping - HV71,2 - 4,2020-02-15,2 , 4,42,22,36,"2,36","4,20","2,60",Linköping HC,HV 71,2,"2,60"
Örebro - Skelleft.,2 - 4,2020-02-15,2 , 4,40,20,40,"2,18","4,20","2,87",Örebro HK,Skellefteå AIK,2,"2,87"
Malmö - Djurgård.,5 - 1,2020-02-15,5 , 1,33,21,46,"2,52","4,25","2,44",IF Malmö Redhawks,Djurgårdens IF,1,"2,52"
Färjestad - Brynäs,5 - 2,2020-02-15,5 , 2,54,19,27,"1,95","4,60","3,17",Färjestad BK,Brynäs IF,1,"1,95"
Södertäl. - Kristian.,5 - 1,2020-02-15,5 , 1,72,14,14,"1,58","4,65","4,70",Södertälje SK,Kristianstads IK,1,"1,58"
Mariestad - Halmstad,3 - 1,2020-02-16,3 , 1,37,22,41,"2,23","4,40","2,40",Mariestad BoIS HC, Halmstad,1,"2,23"
Skövde - Nybro,1 - 5,2020-02-16,1 , 5,19,18,63,"3,50","4,60","1,71",Skövde ,Nybro Vikings IF,2,"1,71"
Bodens HF - Hudiksval,3 - 3,2020-02-16,3 , 3,42,22,36,"2,12","4,50","2,55",Bodens HF , Hudiksval,X,"4,50"
Piteå - Lindlöven,3 - 1,2020-02-16,3 , 1,44,23,33,"1,99","4,50","2,75",Piteå , Lindlöven,1,"1,99"
Pittsb. - Detroit,5 - 1,2020-02-16,5 , 1,79,11,10,"1,41","5,55","6,20",Pittsb. , Detroit,1,"1,41"
NY Ranger - Boston,1 - 3,2020-02-16,1 , 3,32,25,43,"3,00","4,30","2,07",NY Ranger , Boston,2,"2,07"
Carolina - Edmonton,3 - 3,2020-02-16,3 , 3,60,19,21,"1,70","4,65","4,05",Carolina , Edmonton,X,"4,65"
Vancouver - Anaheim,1 - 5,2020-02-16,1 , 5,56,21,23,"2,02","4,10","3,20",Vancouver , Anaheim,2,"3,20"
Calgary - Anaheim,6 - 4,2020-02-17,6 , 4,61,17,22,"1,83","4,35","3,65",Calgary , Anaheim,1,"1,83"
Arizona - NY Island,2 - 1,2020-02-17,2 , 1,36,22,42,"2,30","3,90","2,77",Arizona , NY Island,1,"2,30"
San Jose - Florida,3 - 5,2020-02-17,3 , 5,38,21,41,"2,93","4,20","2,11",San Jose , Florida,2,"2,11"
Vegas - Washingt.,3 - 2,2020-02-17,3 , 2,39,22,39,"2,17","4,25","2,82",Vegas , Washingt.,1,"2,17"
Colorado - Tampa Bay,3 - 3,2020-02-17,3 , 3,34,20,46,"2,65","4,20","2,30",Colorado , Tampa Bay,X,"4,20"
Colorado - Tampa Bay,1 - 0,2020-02-17,1 , 0,27,45,28,,,,Colorado , Tampa Bay,1,
Stockton - San Diego,2 - 2,2020-02-17,2 , 2,44,23,33,"2,42","4,35","2,22",Stockton , San Diego,X,"4,35"
SJ Barrac - Tucson,6 - 3,2020-02-17,6 , 3,22,17,61,"2,85","4,35","1,96",SJ Barrac , Tucson,1,"2,85"
Brynäs - Linköping,2 - 2,2020-02-18,2 , 2,54,20,26,"1,83","4,35","3,70",Brynäs IF,Linköping HC,X,"4,35"
Frölunda - Oskarsh.,5 - 1,2020-02-18,5 , 1,82,10,8,"1,36","5,60","7,65",Frölunda HC,IK Oskarshamn,1,"1,36"
Leksand - Rögle,2 - 5,2020-02-18,2 , 5,22,17,61,"4,10","4,55","1,71",Leksands IF,Rögle BK,2,"1,71"
Luleå - Malmö,4 - 3,2020-02-18,4 , 3,67,17,16,"1,60","4,60","4,95",Luleå HF,IF Malmö Redhawks,1,"1,60"
Skelleft. - Djurgård.,3 - 0,2020-02-18,3 , 0,48,23,29,"2,27","4,20","2,73",Skellefteå AIK,Djurgårdens IF,1,"2,27"
Växjö Lak - HV71,5 - 1,2020-02-18,5 , 1,34,22,44,"2,55","4,25","2,39",Växjö Lakers HC,HV 71,1,"2,55"
Örebro - Färjestad,3 - 3,2020-02-18,3 , 3,37,21,42,"2,42","4,45","2,44",Örebro HK,Färjestad BK,X,"4,45"
Davos - Zug,1 - 1,2020-02-18,1 , 1,34,24,42,"2,49","4,00","2,33",Davos , Zug,X,"4,00"
BIK Karls - Björklöv.,1 - 1,2020-02-19,1 , 1,28,21,51,"3,23","4,40","1,90",BIK Karlskoga,IF Björklöven,X,"4,40"
Almtuna - MODO,1 - 4,2020-02-19,1 , 4,14,15,71,"5,00","5,00","1,51",Almtuna IS,MODO Hockey,2,"1,51"
Kristian. - Karlskron,2 - 0,2020-02-19,2 , 0,47,21,32,"2,31","3,95","2,67",Kristianstads IK,Karlskrona HK,1,"2,31"
AIK - Västervik,3 - 1,2020-02-19,3 , 1,46,20,34,"2,25","4,10","2,67",AIK,Västerviks IK,1,"2,25"
Tingsryd - Mora,2 - 2,2020-02-19,2 , 2,40,21,39,"2,36","4,00","2,57",Tingsryds AIF,Mora IK,X,"4,00"
Vita Häst - Södertäl.,1 - 3,2020-02-19,1 , 3,37,21,42,"2,21","4,15","2,72",HC Vita Hästen,Södertälje SK,2,"2,72"
Västerås - Timrå,1 - 1,2020-02-19,1 , 1,27,19,54,"2,42","4,25","2,42",Västerås IK,Timrå IK,X,"4,25"
Östersund - Väsby,0 - 2,2020-02-19,0 , 2,30,21,49,"2,92","4,55","1,90",Östersund , Väsby,2,"1,90"
Djurgård. - Leksand,5 - 2,2020-02-20,5 , 2,79,11,10,"1,37","5,90","6,75",Djurgårdens IF,Leksands IF,1,"1,37"
HV71 - Örebro,3 - 2,2020-02-20,3 , 2,50,22,28,"1,92","4,30","3,42",HV 71,Örebro HK,1,"1,92"
Färjestad - Frölunda,5 - 2,2020-02-20,5 , 2,41,26,33,"2,27","4,40","2,65",Färjestad BK,Frölunda HC,1,"2,27"
Linköping - Luleå,2 - 2,2020-02-20,2 , 2,25,21,54,"3,20","4,35","1,99",Linköping HC,Luleå HF,X,"4,35"
Rögle - Växjö Lak,5 - 1,2020-02-20,5 , 1,58,19,23,"1,81","4,35","3,80",Rögle BK,Växjö Lakers HC,1,"1,81"
Oskarsh. - Skelleft.,3 - 3,2020-02-20,3 , 3,14,14,72,"4,10","4,65","1,71",IK Oskarshamn,Skellefteå AIK,X,"4,65"
Augsburge - Eisbären,3 - 5,2020-02-20,3 , 5,30,25,45,"2,41","4,15","2,36",Augsburge , Eisbären,2,"2,36"
Stjernen - Lilleham.,1 - 2,2020-02-20,1 , 2,30,24,46,"2,33","4,30","2,26",Stjernen , Lilleham.,2,"2,26"
Karlskron - Vita Häst,2 - 4,2020-02-21,2 , 4,35,24,41,"2,77","4,05","2,20",Karlskrona HK,HC Vita Hästen,2,"2,20"
Mora - BIK Karls,1 - 1,2020-02-21,1 , 1,34,22,44,"2,67","4,35","2,18",Mora IK,BIK Karlskoga,X,"4,35"
Björklöv. - AIK,3 - 2,2020-02-21,3 , 2,79,11,10,"1,24","6,75","8,95",IF Björklöven,Skellefteå AIK,1,"1,24"
MODO - Kristian.,5 - 5,2020-02-21,5 , 5,81,12,7,"1,32","5,85","7,30",MODO Hockey,Kristianstads IK,X,"5,85"
Södertäl. - Tingsryd,4 - 0,2020-02-21,4 , 0,71,16,13,"1,68","4,20","4,40",Södertälje SK,Tingsryds AIF,1,"1,68"
Servette - Zug,3 - 1,2020-02-21,3 , 1,27,24,49,"2,80","4,15","2,07",Servette , Zug,1,"2,80"
Lausanne - EHC Biel,2 - 3,2020-02-21,2 , 3,41,27,32,"2,01","4,10","2,95",Lausanne , EHC Biel,2,"2,95"
Fribourg - Lugano,6 - 3,2020-02-21,6 , 3,38,27,35,"2,22","3,80","2,72",Fribourg , Lugano,1,"2,22"
HV71 - Malmö,3 - 2,2020-02-22,3 , 2,52,20,28,"1,89","4,25","3,55",HV 71,IF Malmö Redhawks,1,"1,89"
Luleå - Färjestad,4 - 1,2020-02-22,4 , 1,47,25,28,"1,91","4,25","3,47",Luleå HF,Färjestad BK,1,"1,91"
Brynäs - Frölunda,4 - 2,2020-02-22,4 , 2,34,21,45,"2,73","4,35","2,22",Brynäs IF,Frölunda HC,1,"2,73"
Skelleft. - Rögle,4 - 3,2020-02-22,4 , 3,46,22,32,"2,19","4,30","2,80",Skellefteå AIK,Rögle BK,1,"2,19"
Växjö Lak - Linköping,2 - 1,2020-02-22,2 , 1,51,21,28,"1,91","4,20","3,48",Växjö Lakers HC,Linköping HC,1,"1,91"
Leksand - Oskarsh.,3 - 0,2020-02-22,3 , 0,53,21,26,"2,07","4,25","3,05",Leksands IF,IK Oskarshamn,1,"2,07"
Örebro - Djurgård.,5 - 2,2020-02-22,5 , 2,36,21,43,"2,52","4,15","2,45",Örebro HK,Djurgårdens IF,1,"2,52"
Timrå - Västervik,5 - 1,2020-02-22,5 , 1,87,8,5,"1,30","6,15","7,75",Timrå IK,Västerviks IK,1,"1,30"
AIK - Mora,4 - 4,2020-02-23,4 , 4,36,20,44,"2,73","4,25","2,17",AIK,Mora IK,X,"4,25"
Jokerit - St Peters,1 - 6,2020-02-23,1 , 6,39,24,37,"2,67","3,85","2,32",Jokerit , St Peters,2,"2,32"
Kazan - Din Minsk,5 - 4,2020-02-23,5 , 4,87,8,5,"1,15","8,40","12,70",Kazan , Din Minsk,1,"1,15"
Omsk - Jaroslavl,0 - 1,2020-02-23,0 , 1,57,22,21,"1,75","4,25","3,90",Omsk , Jaroslavl,2,"3,90"
Dyn Moskv - Sp Moskva,1 - 1,2020-02-23,1 , 1,55,23,22,"1,93","4,00","3,38",Dyn Moskv , Sp Moskva,X,"4,00"
Washingt. - Pittsb.,5 - 3,2020-02-23,5 , 3,43,24,33,"2,03","4,55","2,95",Washingt. , Pittsb.,1,"2,03"
Dallas - Chicago,2 - 1,2020-02-23,2 , 1,61,19,20,"1,79","4,30","3,85",IF Sundsvall Hockey, Chicago,1,"1,79"
Buffalo - Winnipeg,2 - 1,2020-02-23,2 , 1,37,23,40,"2,55","4,15","2,39",Buffalo , Winnipeg,1,"2,55"
Rödovre - Herning,1 - 4,2020-02-24,1 , 4,21,18,61,"3,22","4,80","1,73",Rödovre , Herning,2,"1,73"
Columbus - Ottawa,3 - 3,2020-02-24,3 , 3,55,23,22,"1,80","4,30","3,80",Columbus , Ottawa,X,"4,30"
Novosibir - Magnitogo,4 - 1,2020-02-24,4 , 1,38,25,37,"2,34","3,70","2,75",Novosibir , Magnitogo,1,"2,34"
