Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Novosibir - Sp Moskva,0 - 5,2019-12-24,0 , 5,40,26,34,"2,30","3,75","2,77",Novosibir , Sp Moskva,2,"2,77"
Barys - St Peters,2 - 6,2019-12-25,2 , 6,25,25,50,"3,35","3,65","2,05",Barys , St Peters,2,"2,05"
Tjerepove - HC Sotji,4 - 2,2019-12-25,4 , 2,35,25,40,"2,72","3,70","2,36",Tjerepove , HC Sotji,1,"2,72"
Nizjnekam - Kazan,1 - 1,2019-12-25,1 , 1,24,24,52,"3,70","4,15","1,82",Nizjnekam , Kazan,X,"4,15"
CSKA Mosk - Dyn Moskv,0 - 3,2019-12-25,0 , 3,57,25,18,"1,50","4,50","5,75",CSKA Mosk , Dyn Moskv,2,"5,75"
Omsk - Tjeljabin,1 - 3,2019-12-25,1 , 3,65,18,17,"1,41","4,75","6,90",Omsk , Tjeljabin,2,"6,90"
Bars - Buran,4 - 3,2019-12-25,4 , 3,73,15,12,"1,27","5,60","7,40",Bars , Buran,1,"1,27"
Torp Gork - Hc Rostov,2 - 3,2019-12-25,2 , 3,52,24,24,"1,76","3,70","3,85",Torp Gork , Hc Rostov,2,"3,85"
Ryazan - Tambov,0 - 3,2019-12-25,0 , 3,37,26,37,"2,32","3,35","2,72",Ryazan , Tambov,2,"2,72"
Rögle - Färjestad,0 - 0,2019-12-26,0 , 0,30,22,48,"2,55","4,45","2,33",Rögle BK,Färjestad BK,X,"4,45"
HV71 - Leksand,2 - 2,2019-12-26,2 , 2,71,14,15,"1,65","4,65","4,45",HV 71,Leksands IF,X,"4,65"
Linköping - Malmö,2 - 2,2019-12-26,2 , 2,35,24,41,"2,43","4,10","2,55",Linköping HC,IF Malmö Redhawks,X,"4,10"
Luleå - Frölunda,3 - 2,2019-12-26,3 , 2,44,26,30,"2,13","4,00","3,12",Luleå HF,Frölunda HC,1,"2,13"
Brynäs - Oskarsh.,3 - 3,2019-12-26,3 , 3,72,15,13,"1,57","4,65","5,15",Brynäs IF,IK Oskarshamn,X,"4,65"
Skelleft. - Örebro,7 - 0,2019-12-26,7 , 0,45,22,33,"2,28","4,20","2,70",Skellefteå AIK,Örebro HK,1,"2,28"
Växjö Lak - Djurgård.,5 - 0,2019-12-26,5 , 0,47,22,31,"2,20","4,20","2,83",Växjö Lakers HC,Djurgårdens IF,1,"2,20"
Sveri U20 - Finla U20,2 - 2,2019-12-26,2 , 2,56,21,23,"1,93","4,95","3,12",Sveri U20 , Finla U20,X,"4,95"
Vita Häst - Mora,2 - 1,2019-12-27,2 , 1,49,23,28,"1,82","4,25","3,60",HC Vita Hästen,Mora IK,1,"1,82"
Timrå - AIK,6 - 1,2019-12-27,6 , 1,72,15,13,"1,34","5,80","6,85",Timrå IK,Skellefteå AIK,1,"1,34"
Västerås - MODO,1 - 4,2019-12-27,1 , 4,32,25,43,"2,95","4,35","2,10",Västerås IK,MODO Hockey,2,"2,10"
