,date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
1786,2017-01-28 ,Örebro HK  - Djurgårdens IF,3 - 2,"0-1, 0-1, 2-0, 1-0",5500.0,7132,302109.0,shl,2016/17,Örebro HK,Djurgårdens IF,3.0,2.0,0-1, 0-1, 2-0, 1-0,,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,,,draw,away,away,home,home,
1787,2017-02-24 ,HV 71  - Skellefteå AIK,5 - 2,"1-1, 3-0, 1-1",6884.0,7132,302110.0,shl,2016/17,HV 71,Skellefteå AIK,5.0,2.0,1-1, 3-0, 1-1,,,1.0,1.0,3.0,0.0,1.0,1.0,,,,,home,draw,home,draw,,
1788,2017-02-25 ,Färjestad BK  - Linköping HC,1 - 5,"0-1, 0-1, 1-3",7470.0,7132,302111.0,shl,2016/17,Färjestad BK,Linköping HC,1.0,5.0,0-1, 0-1, 1-3,,,0.0,1.0,0.0,1.0,1.0,3.0,,,,,away,away,away,away,,
1789,2017-02-25 ,Karlskrona HK  - Luleå HF,3 - 1,"1-0, 1-1, 1-0",3449.0,7132,302112.0,shl,2016/17,Karlskrona HK,Luleå HF,3.0,1.0,1-0, 1-1, 1-0,,,1.0,0.0,1.0,1.0,1.0,0.0,,,,,home,home,draw,home,,
1790,2017-02-25 ,Leksands IF  - Frölunda HC,4 - 5,"1-1, 0-2, 3-1, 0-1",6769.0,7132,302113.0,shl,2016/17,Leksands IF,Frölunda HC,4.0,5.0,1-1, 0-2, 3-1, 0-1,,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,,,draw,draw,away,home,away,
1791,2017-02-25 ,Växjö Lakers HC  - Brynäs IF,1 - 4,"0-1, 0-1, 1-2",5652.0,7132,302114.0,shl,2016/17,Växjö Lakers HC,Brynäs IF,1.0,4.0,0-1, 0-1, 1-2,,,0.0,1.0,0.0,1.0,1.0,2.0,,,,,away,away,away,away,,
1792,2017-02-28 ,Luleå HF  - Rögle BK,3 - 0,"0-0, 1-0, 2-0",4338.0,7132,302115.0,shl,2016/17,Luleå HF,Rögle BK,3.0,0.0,0-0, 1-0, 2-0,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,home,draw,home,home,,
1793,2017-02-28 ,Skellefteå AIK  - Färjestad BK,0 - 3,"0-0, 0-2, 0-1",5111.0,7132,302116.0,shl,2016/17,Skellefteå AIK,Färjestad BK,0.0,3.0,0-0, 0-2, 0-1,,,0.0,0.0,0.0,2.0,0.0,1.0,,,,,away,draw,away,away,,
1794,2017-02-28 ,Leksands IF  - Karlskrona HK,1 - 4,"0-2, 1-2, 0-0",5263.0,7132,302117.0,shl,2016/17,Leksands IF,Karlskrona HK,1.0,4.0,0-2, 1-2, 0-0,,,0.0,2.0,1.0,2.0,0.0,0.0,,,,,away,away,away,draw,,
1795,2017-02-28 ,Frölunda HC  - Linköping HC,3 - 4,"0-1, 0-2, 3-0, 0-0, 0-1",8622.0,7132,302118.0,shl,2016/17,Frölunda HC,Linköping HC,3.0,4.0,0-1, 0-2, 3-0, 0-0, 0-1,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,draw,away,away,home,draw,away
